#   frequency            amplitude spectral density
   5.1432785e-02   2.1801775e-04
   5.1508757e-02   2.1799160e-04
   5.1584729e-02   2.1796566e-04
   5.1660700e-02   2.1793993e-04
   5.1736672e-02   2.1791441e-04
   5.1812644e-02   2.1788910e-04
   5.1888615e-02   2.1786402e-04
   5.1964587e-02   2.1783915e-04
   5.2040558e-02   2.1781450e-04
   5.2116530e-02   2.1779008e-04
   5.2192502e-02   2.1776587e-04
   5.2268473e-02   2.1774189e-04
   5.2344445e-02   2.1771813e-04
   5.2420416e-02   2.1769460e-04
   5.2496388e-02   2.1767128e-04
   5.2572360e-02   2.1764820e-04
   5.2648331e-02   2.1762534e-04
   5.2724303e-02   2.1760270e-04
   5.2800275e-02   2.1758029e-04
   5.2876246e-02   2.1755811e-04
   5.2952218e-02   2.1753615e-04
   5.3028189e-02   2.1751441e-04
   5.3104161e-02   2.1749290e-04
   5.3180133e-02   2.1747162e-04
   5.3256104e-02   2.1745056e-04
   5.3332076e-02   2.1742972e-04
   5.3408047e-02   2.1740911e-04
   5.3484019e-02   2.1738872e-04
   5.3559991e-02   2.1736855e-04
   5.3635962e-02   2.1734861e-04
   5.3711934e-02   2.1732889e-04
   5.3787906e-02   2.1730939e-04
   5.3863877e-02   2.1729011e-04
   5.3939849e-02   2.1727104e-04
   5.4015820e-02   2.1725220e-04
   5.4091792e-02   2.1723358e-04
   5.4167764e-02   2.1721517e-04
   5.4243735e-02   2.1719699e-04
   5.4319707e-02   2.1717902e-04
   5.4395679e-02   2.1716126e-04
   5.4471650e-02   2.1714372e-04
   5.4547622e-02   2.1712639e-04
   5.4623593e-02   2.1710928e-04
   5.4699565e-02   2.1709237e-04
   5.4775537e-02   2.1707568e-04
   5.4851508e-02   2.1705920e-04
   5.4927480e-02   2.1704293e-04
   5.5003451e-02   2.1702687e-04
   5.5079423e-02   2.1701102e-04
   5.5155395e-02   2.1699537e-04
   5.5231366e-02   2.1697993e-04
   5.5307338e-02   2.1696470e-04
   5.5383310e-02   2.1694967e-04
   5.5459281e-02   2.1693484e-04
   5.5535253e-02   2.1692021e-04
   5.5611224e-02   2.1690579e-04
